key,fr_FR,nl_NL,it_IT,de_DE,nl_BE,es_ES,pt_ES
email > welcoming.thank,Merci d'avoir créé votre compte Babyliss,Bedankt dat u een BaByliss-account hebt aangemaakt ,Merci d'avoir créé votre compte Babyliss,Vielen Dank für die Erstellung Ihres Kontos Babyliss,Bedankt dat u een BaByliss-account hebt aangemaakt,Gracias por haber creado una cuenta Babyliss,Obrigado por ter criado a sua conta Babyliss
email > welcoming.univers,"A chacun son univers, à chacun ses produits préférés chez BaByliss","Producten voor iedereen, ieder zijn eigen BaByliss-favorieten ","A chacun son univers, à chacun ses produits préférés chez BaByliss",Für jeden etwas dabei: Hier findet jeder seine Lieblingsartikel von BaByliss.,"Producten voor iedereen, ieder zijn eigen BaByliss-favorieten","Cada uno tiene su propio universo, cada uno tiene sus productos favoritos en BaByliss","A cada um o seu universo, a cada um os seus produtos favoritos na BaByliss"
locale > global.accountlink,Mon compte,Mijn account,Mon compte,Mein Konto,Mijn account,Mi cuenta,A minha conta
locale > global.addtocart,ACHETER SUR CE SITE,In winkelmandje,ACHETER SUR CE SITE,AUF DIESER SEITE KAUFEN,In winkelmandje,COMPRAR EN ESTE SITIO,COMPRAR NESTE SITE
locale > global.allnotavailable,Cet article n'est pas disponible actuellement.,momenteel niet voorraadig,Cet article n'est pas disponible actuellement.,Dieser Artikel ist zurzeit nicht verfügbar.,Dit artikel is momenteel niet voorradig.,Este artículo no está disponible actualmente.,Este artigo não se encontra disponível.
locale > global.amount,Montant,Bedrag,Montant,Betrag,Bedrag,Importe,Total
locale > global.applied,Appliqué,Toegepast,Appliqué,Verwendet,Toegepast,Aplicado,Aplicado
locale > global.apply,OK,CONTROLEREN,OK,OK,OK,Aceptar,OK
locale > global.availability,Disponibilité,Beschikbaarheid,Disponibilité,Verfügbarkeit,Beschikbaarheid,Disponibilidad,Disponibilidade
locale > global.carousel.featuredproducts,Vous pourriez être intéressé(e) par ces produits,Producten die voor u mogelijk interessant zijn,Vous pourriez être intéressé(e) par ces produits,Diese Artikel könnten Sie interessieren,Producten die voor u mogelijk interessant zijn,Puede que te interesen los siguientes productos,Poderá estar interessado/a nestes produtos
locale > global.checkout,Valider & payer,doorgaan met je bestelling,Valider & payer,Bestätigen & bezahlen,Bevestigen & betalen,Validar y pagar,Validar e pagar
locale > global.continue,Continuer,Doorgaan,Continuer,Fortfahren,Doorgaan,Continuar,Continuar
locale > global.continuebilling,Continuer >,verder,Continuer >,Fortfahren >,Doorgaan >,Continuar >,Continuar >
locale > global.continuecheckout,Poursuivre le paiement,Verder met betalen,Poursuivre le paiement,Mit der Zahlung fortfahren,Verder met betalen,Seguir con el pago,Informações para pagamento
locale > global.continueplaceorder,Continuer >,Doorgaan >,Continuer >,Fortfahren >,Doorgaan >,Continuar >,Continuar >
locale > global.continueshippingmethods,Choisir le mode de livraison >,Kies bezorgmethode >,Choisir le mode de livraison >,Lieferart auswählen >,Kies leveringsmethode >,Elegir modo de entrega >,Escolher o método de envio >
locale > global.continueshopping,Continuer les achats,Verder winkelen,Continuer les achats,Einkauf fortsetzen,Verder winkelen,Seguir comprando,Continuar as compras
locale > global.createbutton,Créer un compte,Creeër account,Créer un compte,Konto erstellen,Account aanmaken,Crear una cuenta,Criar uma conta
locale > global.createnowbutton,Créer un compte,Account aanmaken,Créer un compte,Konto erstellen,Account aanmaken,crear una cuenta,Criar uma conta
locale > global.delete,Supprimer,Verwijderen,Supprimer,Entfernen,Verwijderen,Borrar,Apagar
locale > global.deliveredviaemail,- Envoyé par e-mail,- Verstuurd per e-mail,- Envoyé par e-mail,- Per E-Mail versandt,- Verstuurd per e-mail,- Enviado por correo electrónico,- Enviado por e-mail
locale > global.description,Description,Beschrijving,Description,Beschreibung,Beschrijving,Descripción,Descrição
locale > global.details,Détails,Gegevens,Détails,Details,Gegevens,Detalles,Detalhes
locale > global.edit,Modifier,Aanpassen,Modifier,Bearbeiten,Aanpassen,Modificar,Modificar
locale > global.editaaddress,Modifier l'adresse,Adres aanpassen,Modifier l'adresse,Adresse ändern,Adres aanpassen,Modificar dirección,Modificar o endereço
locale > global.editdetails,Modifier les détails,Gegevens aanpassen,Modifier les détails,Angaben ändern,Gegevens aanpassen,Modificar datos,Modificar os detalhes
locale > global.error,Erreur,Fout,Erreur,Fehler,Fout,Error,Erro
locale > global.estimatedtotal,Total panier,Totaal bedrag,Total panier,Gesamtbetrag des Einkaufskorbs,Totaalbedrag,Total carro,Total do carrinho
locale > global.find,Rechercher,Zoeken,Rechercher,Suchen,Zoeken,Buscar,Pesquisar
locale > global.folderrefinement.label.prefix,Aller à la page :,Naar de pagina gaan:,Aller à la page :,Auf diese Seite gehen:,Naar de pagina gaan:,Ir a la página:,Ir para a página:
locale > global.free,Gratuit,Gratis,Gratuit,Gratis,Gratis,Gratis,Grátis
locale > global.from,De,van,De,Von,van,De,De
locale > global.go,Valider,Bevestigen,Valider,Bestätigen,Bevestigen,Validar,Validar
locale > global.goprevious,Précédent,Vorige,Précédent,Zurück,Vorige,Anterior,Anterior
locale > global.header.wishlistlink,Liste de souhaits,Verlanglijst,Liste de souhaits,Wunschliste,Verlanglijst,Lista de deseos,Lista de desejos
locale > global.instock,En stock,Op voorraad,En stock,Auf Lager,Op voorraad,En stock,Em stock
locale > global.invalidpostal,"Vereist formaat: 12345, we herhalen dat we alleen leveren in Metropolitaans Frankrijk",Voer een geldige postcode in. Voorbeeld 1234 AB,"Format requis : 12345, pour rappel nous ne livrons qu'en France Métropolitaine","Erforderliches Format: 12345, zur Erinnerung, dass wir nur nach Frankreich liefern.","Vereist formaat: 12345, we herhalen dat we alleen leveren in Metropolitaans Frankrijk",Formato requerido: 12345; te recordamos que solo entregamos en Francia metropolitana,"Formato obrigatório: 12345, tenha em atenção que apenas fazemos envios para a França Metropolitana"
locale > global.item,Article,Artikel,Article,Artikel,Artikel,Artículo,Artigo
locale > global.itemno,Référence :,Type:,Référence :,Artikelnummer:,Referentie:,Referencia:,Referência:
locale > global.login,Connexion,Inloggen,Connexion,Verbinden,Inloggen,Conexión,Iniciar sessão
locale > global.logout,Déconnexion,UITLOGGEN,Déconnexion,Abmelden,Uitloggen,Desconexión,Sair
locale > global.next,Suivant,Volgende,Suivant,nächste,Volgende,Siguiente,Seguinte
locale > global.nosavedaddress,Il n'y a actuellement aucune adresse enregistrée.,Er is op dit moment geen adres geregistreerd.,Il n'y a actuellement aucune adresse enregistrée.,Zurzeit ist keine Adresse registriert.,Er is op dit moment geen adres geregistreerd.,Actualmente no hay ninguna dirección registrada.,Não tem nenhum endereço registado.
locale > global.nothanks,Non merci,"Nee, bedankt",Non merci,Nein danke,"Nee, bedankt","No, gracias","Não, obrigado"
locale > global.or,ou,of,ou,oder,of,o,ou
locale > global.ordertotal,Total :,Totaal:,Total :,Gesamtbetrag:,Totaal:,Total:,Total :
locale > global.paginginformation.showing,Affichage,Resultaat ,Affichage,Anzeigen,Resultaat,Ver,Visualização
locale > global.price,Prix,Prijs,Prix,Preis,Prijs,Precio,Preço
locale > global.privacypolicy,Voir la politique de confidentialité,Zie het privacybeleid,Voir la politique de confidentialité,Datenschutzrichtlinien lesen,Zie het privacybeleid,Ver política de confidencialidad,Veja a política de privacidade
locale > global.product,Produit,Product,Produit,Produkt,Product,Producto,Produto
locale > global.qty,Qté,Aantal,Qté,Menge,Aantal,Cnt.,Qtd.
locale > global.quantity,Quantité,Hoeveelheid,Quantité,Menge,Aantal,Cantidad,Quantidade
locale > global.register,Enregistrer,Registreren,Enregistrer,Registrieren,Registreren,Registrar,Registar
locale > global.remove,Supprimer,Verwijderen,Supprimer,Entfernen,Verwijderen,Borrar,Apagar
locale > global.search,Rechercher,Zoek,Rechercher,Suchen,Zoeken,Buscar,Pesquisar
locale > global.select,Sélectionner,Kiezen,Selezionare,Auswählen,Selecteren,Seleccionar,Selecionar
locale > global.selectaddressmessage,Sélectionner une adresse,Selecteer een adres ,Sélectionner une adresse,Eine Adresse auswählen,Selecteer een adres,Seleccionar una dirección,Selecione um endereço
locale > global.signup,S'INSCRIRE,INSCHRIJVEN,S'INSCRIRE,ANMELDUNG,INSCHRIJVEN,SUSCRIBIRSE,INSCREVER-ME
locale > global.socialshare.whatsapp.label,Partager par WhatsApp,Deel op WhatsApp,Partager par WhatsApp,Auf WhatsApp teilen,Deel op WhatsApp,Compartir en WhatsApp,Partilhar pelo WhatsApp
locale > global.submitorder,Confirmer la commande,Bestelling bevestigen,Confirmer la commande,Die Bestellung bestätigen,Bestelling bevestigen,Confirmar pedido,Confirmar a encomenda
locale > global.totalprice,Total,Totaal ,Total,Gesamtbetrag,Totaal,Total,Total
locale > global.updatecart,Mettre à jour le panier,Winkelmand bijwerken,Mettre à jour le panier,Einkaufskorb aktualisieren,Winkelmand bijwerken,Actualizar carro,Atualizar o carrinho
locale > global.user,Utilisateur,Gebruiker,Utilisateur,Benutzer,Gebruiker,Usuario,Utilizador
locale > globalaccount.createheader,S'inscrire,Inschrijven,S'inscrire,Anmeldung,Inschrijven,Suscribirse,Inscrever-se
locale > globalaccount.createmessage,"C’est très simple, un simple formulaire suffit!","Het is heel simpel, u hoeft alleen maar een eenvoudig formulier in te vullen!","C’est très simple, un simple formulaire suffit!","Es ist ganz einfach, ein Formular reicht aus!","Het is heel simpel, u hoeft alleen maar een eenvoudig formulier in te vullen!","Es muy fácil, ¡un simple formulario es suficiente!","É muito simples, basta um formulário simples!"
order > order.orderconfirmation-email.thankyou,- Merci pour votre commande ,- Bedankt voor uw bestelling,- Merci pour votre commande ,- Vielen Dank für Ihre Bestellung ,- Bedankt voor uw bestelling,- Gracias por haber realizado tu pedido ,- Obrigado pela encomenda 
order > order.orderconfirmation-email.thankyouus,Nous vous remercions de votre commande.,Bedankt voor uw bestelling.,Nous vous remercions de votre commande.,Wir danken Ihnen für Ihre Bestellung. ,Bedankt voor uw bestelling.,Te agradecemos que hayas realizado tu pedido.,Agradecemos a sua encomenda.
order > order.orderdetails.paymentinfo,Informations pour le paiement,Betalingsinformatie,Informations pour le paiement,Informationen zur Zahlung,Betalingsinformatie,Información para el pago,Informações para pagamento
order > order.orderdetails.billingaddress,Adresse de facturation,Factuuradres,Adresse de facturation,Rechnungsadresse,Factuuradres,Dirección de la facturación,Endereço de faturação
order > order.orderdetails.paymentmethod,Mode de paiement,Betaalwijze,Mode de paiement,Zahlungsart,Betaalwijze,Método de pago,Método de pagamento
order > order.orderdetails.paymenttotal,Total paiement,Totaal bedrag,Total paiement,Gesamtbetrag,Totaalbedrag,Total pago,Total a pagar
order > order.orderdetails.shippingmethod,Mode de livraison :,Verzending:,Mode de livraison :,Lieferart:,Aflevering:,Métodos de entrega:,Endereço de envio
order > order.orderdetails.shippingstatus,État de la livraison :,Status:,État de la livraison :,Lieferstatus:,Status levering:,Estado de la entrega:,Estado do envio:
order > order.orderdetails.shippingto,Livraison à ,Verzendadres,Livraison à ,Lieferung an ,Verzendadres,Entrega en ,Envio para 
order > order.orderdetails.notshipped,Non expédié,Nog niet verzonden,Non expédié,Nicht verschickt,Nog niet verzonden,No enviado,Não enviada
order > order.orderdetails.orderplaced,Commande passée :,Geplaatste bestelling:,Commande passée :,Erteilte Bestellung:,Geplaatste bestelling:,Pedido pasado:,Encomenda efetuada:
order > order.orderdetails.ordernumber,Numéro de commande :,Bestelnummer:,Numéro de commande :,Bestellnummer:,Bestelnummer:,Número de pedido:,Número da encomenda:
order > order.orderdetails.giftcertto,À :,Te:,À :,An:,Te:,En:,Para:
order > order.orderdetails.giftcertfrom,De :,Van:,De :,Von:,Van:,De:,De:
order > order.orderdetails.giftmessage,Message :,Bericht:,Message :,Nachricht:,Bericht:,Mensaje:,Mensagem:
order > order.orderdetails.giftcertshippingaddress,Envoyé à :,Verstuurd naar:,Envoyé à :,Verschickt an:,Verstuurd naar:,Enviado a:,Enviada para:
order > order.ordersummary.subtotal,Sous-total,Subtotaal,Sous-total,Zwischensumme,Subtotaal,Subtotal,Sub-total
order > order.ordersummary.orderdiscount,Korting op de bestelling,Korting,Remise sur la commande,Ermäßigung auf die Bestellung,Korting op de bestelling,Descuento sobre el pedido,Confirme a encomenda
order > order.ordersummary.ordershipping,Livraison,Bezorging,Livraison,Lieferung,Levering,Entrega,Envio
storelocator > storelocator.countryRestriction,FR,NL,IT,DE,BE,ES,PT
storelocator > storelocator.ou,ou,of,ou,oder,of,o,ou
storelocator > storelocator.storelocatorresults.ensavoirplus,en savoir plus,meer weten,en savoir plus,Mehr erfahren,meer weten,más información,saber mais
